Title: List of Funded Startups in San Francisco (2026)
San Francisco remains the epicenter of innovation and these freshly funded San Francisco startups are defining what’s next. 

From [AI](https://fundraiseinsider.com/blog/ai-startups/)and Web3 to [biotech](https://fundraiseinsider.com/blog/biotech-startups/), [SaaS](https://fundraiseinsider.com/blog/recently-funded-saas-startups/), and enterprise automation, San Francisco’s startups continue to attract some of the largest funding rounds in the world. These companies are scaling fast, hiring top talent, expanding into new markets, and actively looking for partners, platforms, and services to fuel their next phase of growth. 

At Fundraise Insider, we track every newly funded startup in San Francisco and deliver verified contact details for founders, C-suite executives, and decision makers so you can reach out before your competitors even know they raised. 

Below is a sample of recently funded startups based in San Francisco. 

Just after raising venture capital, startups in San Francisco will hire new employees, sign-on new agencies (marketing, software development, recruitment, legal, accounting, etc) and buy new SaaS software to help them grow their business. 

If you’re looking to sign-on new clients this year, pitch to these San Francisco startups right after they raise funding via the [B2B sales leads list](https://fundraiseinsider.com/)– **Fundraise Insider **, trusted by the likes of Google, Oracle, Brex, Plaid, Gartner, etc. 

> Pay Once, Get Lifetime Weekly Leads | Fundraise Insider

## Newly Funded San Francisco Startups

****Click here to download 10 leads from newly funded startups. ****

**Leads list includes: ***First Name, Last Name, Title, Company, Email, Linkedin Url, # Employees, Industry, Website, Company Linkedin Url, Facebook Url, Twitter Url, Company Phone, Technologies, Annual Revenue, Short Description, Founded Year, Top 5 Investors, Funding Amount, Headquarters, Funding Type, Funding Date. *

| Company | Industry | Website | Headquarters | Funding Type | 
|---|---|---|---|---|---|---|---|---|---|
| Loop | information technology & services | http://www.loop.com | San Francisco, California, United States | Series C | 
| Ulysses Ecosystem Engineering | mechanical or industrial engineering | http://www.ulysses.inc | San Francisco, California, United States | Series A | 
| Resolve.ai | information technology & services | http://www.resolve.ai | San Francisco, California, United States | Series A | 
| Slash | financial services | http://www.slash.com | San Francisco, California, United States | Series C | 
| Expo | information technology & services | http://www.expo.dev | Palo Alto, California, United States | Series B | 
| Zum | information technology & services | http://www.ridezum.com | Redwood City, California, United States | Private Equity | 
| Factory | information technology & services | http://www.factory.ai | San Francisco, California, United States | Series C | 
| Stellar Cyber | computer & network security | http://www.stellarcyber.ai | Santa Clara, California, United States | Debt Financing | 
| AmplifiDx | medical devices | http://www.amplifidx.com | Pleasanton, California, United States | Grant | 
| Terremoto Biosciences | research | http://www.terremotobio.com | San Francisco, California, United States | Series C | 
| Phonely | facilities services | http://www.phonely.ai | San Francisco, California, United States | Series A | 
| Cerebras Systems | semiconductors | http://www.cerebras.ai | Sunnyvale, California, United States | Debt Financing | 
| Allbirds | apparel & fashion | http://www.allbirds.com | San Francisco, California, United States | Debt Financing | 
| Parasail | information technology & services | http://www.parasail.io | San Francisco, California, United States | Series A | 
| Auctor | information technology & services | http://www.getauctor.com | San Francisco, California, United States | Series A | 
| HYFIX Spatial Intelligence | machinery | http://www.hyfix.ai | Santa Clara, California, United States | Seed | 
| Boom | information technology & services | http://www.boom.build | San Francisco, California, United States | Seed | 
| Creao AI | information technology & services | http://www.creao.ai | Palo Alto, California, United States | Seed | 
| Mintlify | information technology & services | http://www.mintlify.com | San Francisco, California, United States | Series B | 
| nEye | semiconductors | http://www.neye.ai | Santa Clara, California, United States | Series C | 
| Calyxo | medical devices | http://www.calyxoinc.com | Pleasanton, California, United States | Series F | 
| Ratio | financial services | http://www.ratiotech.com | San Mateo, California, United States | Undisclosed | 
| Fireside Project | mental health care | http://www.firesideproject.org | San Francisco, California, United States | Grant | 
| Invisible Technologies | information technology & services | http://www.invisibletech.ai | San Francisco, California, United States | Venture - Series Unknown | 
